[s],CH1[V]
-6.0000E-06,4.969E+00
-5.9980E-06,4.969E+00
-5.9960E-06,4.969E+00
-5.9940E-06,4.969E+00
-5.9920E-06,4.969E+00
-5.9900E-06,4.969E+00
-5.9880E-06,4.969E+00
-5.9860E-06,4.969E+00
-5.9840E-06,4.969E+00
-5.9820E-06,4.969E+00
-5.9800E-06,4.969E+00
-5.9780E-06,4.969E+00
-5.9760E-06,4.969E+00
-5.9740E-06,4.969E+00
-5.9720E-06,4.969E+00
-5.9700E-06,4.969E+00
-5.9680E-06,4.969E+00
-5.9660E-06,5.009E+00
-5.9640E-06,4.969E+00
-5.9620E-06,4.969E+00
-5.9600E-06,4.969E+00
-5.9580E-06,4.969E+00
-5.9560E-06,4.969E+00
-5.9540E-06,4.969E+00
-5.9520E-06,4.969E+00
-5.9500E-06,4.969E+00
-5.9480E-06,4.969E+00
-5.9460E-06,4.969E+00
-5.9440E-06,4.969E+00
-5.9420E-06,4.969E+00
-5.9400E-06,4.969E+00
-5.9380E-06,4.969E+00
-5.9360E-06,4.969E+00
-5.9340E-06,4.969E+00
-5.9320E-06,4.969E+00
-5.9300E-06,4.969E+00
-5.9280E-06,4.969E+00
-5.9260E-06,4.969E+00
-5.9240E-06,4.969E+00
-5.9220E-06,4.969E+00
-5.9200E-06,4.929E+00
-5.9180E-06,4.969E+00
-5.9160E-06,4.929E+00
-5.9140E-06,4.969E+00
-5.9120E-06,4.969E+00
-5.9100E-06,4.969E+00
-5.9080E-06,4.969E+00
-5.9060E-06,4.969E+00
-5.9040E-06,4.969E+00
-5.9020E-06,4.969E+00
-5.9000E-06,4.969E+00
-5.8980E-06,4.969E+00
-5.8960E-06,4.969E+00
-5.8940E-06,4.969E+00
-5.8920E-06,4.969E+00
-5.8900E-06,4.969E+00
-5.8880E-06,4.969E+00
-5.8860E-06,4.969E+00
-5.8840E-06,4.969E+00
-5.8820E-06,4.969E+00
-5.8800E-06,4.969E+00
-5.8780E-06,4.969E+00
-5.8760E-06,4.969E+00
-5.8740E-06,4.969E+00
-5.8720E-06,4.969E+00
-5.8700E-06,4.969E+00
-5.8680E-06,4.969E+00
-5.8660E-06,4.969E+00
-5.8640E-06,4.969E+00
-5.8620E-06,4.969E+00
-5.8600E-06,4.969E+00
-5.8580E-06,4.969E+00
-5.8560E-06,4.969E+00
-5.8540E-06,4.969E+00
-5.8520E-06,4.969E+00
-5.8500E-06,4.969E+00
-5.8480E-06,4.969E+00
-5.8460E-06,4.969E+00
-5.8440E-06,4.969E+00
-5.8420E-06,4.969E+00
-5.8400E-06,4.969E+00
-5.8380E-06,4.969E+00
-5.8360E-06,4.969E+00
-5.8340E-06,4.969E+00
-5.8320E-06,4.969E+00
-5.8300E-06,4.969E+00
-5.8280E-06,4.929E+00
-5.8260E-06,4.969E+00
-5.8240E-06,4.969E+00
-5.8220E-06,4.969E+00
-5.8200E-06,4.969E+00
-5.8180E-06,4.969E+00
-5.8160E-06,4.969E+00
-5.8140E-06,4.969E+00
-5.8120E-06,4.969E+00
-5.8100E-06,4.969E+00
-5.8080E-06,4.969E+00
-5.8060E-06,4.969E+00
-5.8040E-06,4.969E+00
-5.8020E-06,4.969E+00
-5.8000E-06,4.929E+00
-5.7980E-06,4.969E+00
-5.7960E-06,4.969E+00
-5.7940E-06,4.969E+00
-5.7920E-06,4.969E+00
-5.7900E-06,4.969E+00
-5.7880E-06,4.969E+00
-5.7860E-06,4.969E+00
-5.7840E-06,4.969E+00
-5.7820E-06,4.969E+00
-5.7800E-06,4.969E+00
-5.7780E-06,4.969E+00
